Part ID,Layer,Rotation,X,Y
FIDUCIAL,TOP,0,8.636,34.671
FIDUCIAL,TOP,0,19.685,2.54
FIDUCIAL,TOP,0,61.468,38.1
BT1,TOP,90,3.53799,40.9435
BT2,TOP,90,3.53799,49.008
C1,TOP,90,12.5603,13.9329
C10,TOP,90,20.0145,13.495
C11,TOP,270,20.0145,17.013
C12,TOP,90,32.0416,13.7618
C13,TOP,0,52.819,36.449
C14,TOP,-90,51.5361,16.9875
C15,TOP,90,16.663,30.3769
C16,TOP,270,15.412,19.5555
C17,TOP,0,60.9011,25.4635
C18,TOP,180,10.6935,26.8681
C19,TOP,180,10.6935,23.312
C2,TOP,90,41.4655,13.5
C20,TOP,90,46.6725,13.5
C21,TOP,90,48.4505,13.7668
C22,TOP,180,41.4401,27.4955
C23,TOP,-90,29.2735,15.264
C24,TOP,90,6.79201,9.61499
C25,TOP,-90,41.4396,16.9875
C26,TOP,-180,9.6901,6.57959
C27,TOP,-90,12.5705,9.79269
C3,TOP,270,6.7818,13.9329
C4,TOP,270,32.0416,16.9875
C5,TOP,0,60.9011,30.988
C6,TOP,180,40.6019,36.449
C8,TOP,90,11.7115,49.8079
C9,TOP,180,11.737,46.1645
D1,TOP,270,2.413,2.85699
D2,TOP,270,7.62,49.0225
D3,TOP,-90,2.413,10.6685
D4,TOP,90,7.62,40.957
D5,TOP,270,2.413,18.479
D6,TOP,0,15.3986,10.668
D7,TOP,270,25.527,14.9985
D8,TOP,0,15.8242,42.196
F1,TOP,0,9.212,30.002
J1,TOP,0,3.66649,26.67
L1,TOP,180,37.338,15.26
Q1,TOP,0,15.494,13.6916
Q2,TOP,90,40.8559,24.765
R1,TOP,-90,15.012,30.3769
R10,TOP,90,9.0805,40.9194
R11,TOP,-90,3.8735,2.88201
R12,TOP,0,8.4075,46.1645
R13,TOP,0,41.4401,21.971
R14,TOP,180,41.4401,20.32
R2,TOP,-180,15.405,7.30349
R22,TOP,90,17.063,19.5555
R23,TOP,90,9.0805,48.9839
R24,TOP,90,3.8735,10.6435
R26,TOP,90,3.8735,18.454
R3,TOP,0,15.405,8.95449
R4,TOP,0,41.4401,30.7975
R5,TOP,0,41.4401,32.4485
R6,TOP,0,41.4401,29.1465
R7,TOP,90,46.6466,16.9875
R8,TOP,0,44.0174,17.7875
R9,TOP,-90,48.4246,16.9875
U1,TOP,180,9.6393,13.6916
U2,TOP,270,61.4091,28.194
U3,TOP,180,46.7192,38.354
U4,TOP,-180,15.795,45.5646
U5,TOP,0,44.0715,14
U6,TOP,180,15.412,24.9725
U7,TOP,90,22.11,14.9935
U8,TOP,-90,51.4165,26.67
U9,TOP,180,9.652,9.55949
