Part ID,Layer,Rotation,X,Y
FIDUCIAL,TOP,0,340,1365
FIDUCIAL,TOP,0,775,100
FIDUCIAL,TOP,0,2420,1500
U6,TOP,180,606.772,983.169
BT1,TOP,90,139.291,1611.95
BT2,TOP,90,139.291,1929.45
D2,TOP,270,300,1930.02
D1,TOP,270,95,112.48
TP1,TOP,-90,140,1365
R24,TOP,90,152.5,419.035
R11,TOP,-90,152.5,113.465
D3,TOP,-90,95,420.02
C18,TOP,180,421.004,1057.8
R1,TOP,-90,611.024,1195.94
R26,TOP,90,152.5,726.535
R10,TOP,90,357.5,1611
D4,TOP,90,300,1612.48
C19,TOP,180,421.004,867.795
C16,TOP,270,606.772,769.902
R22,TOP,90,671.772,769.902
C6,TOP,180,1598.5,1442.5
C1,TOP,90,494.5,548.539
C15,TOP,90,676.024,1195.94
U5,TOP,0,1560.1,551.181
L1,TOP,180,1295,600.787
U8,TOP,-90,2024.27,1050
C20,TOP,90,1662.5,531.496
C21,TOP,90,1900,658
C2,TOP,90,1457.5,531.496
C12,TOP,90,1812.5,658
R7,TOP,90,1661.48,668.799
R8,TOP,0,1557.97,700.295
R9,TOP,-90,1731.48,668.799
C25,TOP,-90,1456.48,668.799
R3,TOP,0,606.496,352.539
R23,TOP,90,357.5,1928.5
R4,TOP,0,1598.5,1217.5
R5,TOP,0,1598.5,1282.5
R6,TOP,0,1598.5,1152.5
C5,TOP,0,2597.68,1230
U2,TOP,270,2617.68,1120
C13,TOP,0,2079.49,1435
C14,TOP,-90,2028.98,668.799
C17,TOP,0,2597.68,1012.5
C22,TOP,0,1598.5,957.5
Q2,TOP,90,1597.94,850
D5,TOP,270,95,727.52
TP7,TOP,0,1943.78,1369.41
TP8,TOP,0,2348.68,1018.5
TP10,TOP,0,495,257.5
C10,TOP,270,1127.5,531.496
C11,TOP,180,1028.5,700
U9,TOP,180,380,376.358
U1,TOP,180,379.5,539.039
C3,TOP,270,267,548.539
C24,TOP,90,267.402,378.543
C26,TOP,-180,381.5,259.039
C27,TOP,-90,494.902,385.539
TP11,TOP,0,743.524,1209.94
U3,TOP,180,1839.34,1510
U4,TOP,-180,621.85,1793.88
R12,TOP,0,331.004,1817.5
C8,TOP,90,461.083,1960.94
C9,TOP,180,462.087,1817.5
TP2,TOP,0,520,1740
TP6,TOP,0,430,1740
R2,TOP,0,606.496,417.539
U7,TOP,-90,1030.47,557.205
C7,TOP,270,1127.5,660.5
FT1,TOP,180,421.201,1200.3
R15,TOP,180,421.004,933.795
R16,TOP,-180,421.004,1122.8
R13,TOP,0,1598.5,1087.5
Q1,TOP,0,610,539.039
R14,TOP,180,1598.5,1022.5
D6,TOP,0,623,1661.26
J11,TOP,90,2590.62,794.992
C4,TOP,-90,2436.48,731.791
R20,TOP,0,1598.5,1377.5
D7,TOP,180,1825.77,527.5
R17,TOP,90,546.024,1195.94
D8,TOP,0,438.791,685.539
TP5,TOP,0,1704.86,1369.51
TP9,TOP,0,1704.86,987.007
TP4,TOP,0,1704.86,1169.51
